Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,720,521,483,236,394,345
4/10/2022,>25,Male,890,444,656,483,513,760
4/10/2022,15-25,Female,609,358,448,866,232,111
4/10/2022,>25,Female,519,11,837,954,926,584
5/10/2022,15-25,Male,521,688,127,230,609,333
5/10/2022,>25,Male,416,55,835,39,941,453
5/10/2022,15-25,Female,97,901,634,834,738,614
5/10/2022,>25,Female,867,874,201,441,702,78
6/10/2022,15-25,Male,832,111,269,25,540,535
6/10/2022,>25,Male,821,848,681,652,398,205
6/10/2022,15-25,Female,498,39,974,710,913,861
6/10/2022,>25,Female,601,601,433,677,311,770
7/10/2022,15-25,Male,653,939,261,61,544,7
7/10/2022,>25,Male,124,241,838,776,490,923
7/10/2022,15-25,Female,351,212,446,4,230,386
7/10/2022,>25,Female,231,801,587,515,156,467
8/10/2022,15-25,Male,930,806,427,797,337,259
8/10/2022,>25,Male,245,284,654,792,492,848
8/10/2022,15-25,Female,137,825,985,481,43,915
8/10/2022,>25,Female,731,811,897,949,849,516
9/10/2022,15-25,Male,398,295,519,134,341,896
9/10/2022,>25,Male,875,625,530,549,120,60
9/10/2022,15-25,Female,628,136,334,462,44,450
9/10/2022,>25,Female,930,209,783,871,374,947
10/10/2022,15-25,Male,750,286,39,65,366,810
10/10/2022,>25,Male,130,22,183,663,848,326
10/10/2022,15-25,Female,642,485,301,601,841,779
10/10/2022,>25,Female,682,696,171,290,629,998
11/10/2022,15-25,Male,170,457,647,294,205,988
11/10/2022,>25,Male,964,782,884,659,755,38
11/10/2022,15-25,Female,665,242,684,85,481,958
11/10/2022,>25,Female,774,809,904,99,262,917
12/10/2022,15-25,Male,228,218,303,78,120,468
12/10/2022,>25,Male,965,184,590,819,820,699
12/10/2022,15-25,Female,470,75,101,734,756,834
12/10/2022,>25,Female,638,441,733,942,558,920
13/10/2022,15-25,Male,331,438,230,688,419,979
13/10/2022,>25,Male,479,99,506,198,700,824
13/10/2022,15-25,Female,413,233,350,582,206,347
13/10/2022,>25,Female,119,26,673,379,212,991
14/10/2022,15-25,Male,950,218,717,841,845,468
14/10/2022,>25,Male,270,962,530,517,524,485
14/10/2022,15-25,Female,987,384,370,21,701,753
14/10/2022,>25,Female,174,538,6,166,652,783
15/10/2022,15-25,Male,9,82,963,163,61,964
15/10/2022,>25,Male,343,767,516,132,225,344
15/10/2022,15-25,Female,886,882,199,450,155,14
15/10/2022,>25,Female,354,216,344,61,681,325
16/10/2022,15-25,Male,703,642,104,917,610,467
16/10/2022,>25,Male,749,288,907,875,318,21
16/10/2022,15-25,Female,697,712,505,856,2,290
16/10/2022,>25,Female,54,961,325,992,928,428
17/10/2022,15-25,Male,690,943,532,275,832,760
17/10/2022,>25,Male,619,176,265,610,278,296
17/10/2022,15-25,Female,914,728,835,137,366,102
17/10/2022,>25,Female,104,509,255,904,463,82
18/10/2022,15-25,Male,969,893,64,22,686,222
18/10/2022,>25,Male,696,132,64,656,318,526
18/10/2022,15-25,Female,305,248,474,382,242,663
18/10/2022,>25,Female,921,774,144,912,825,370
19/10/2022,15-25,Male,513,431,502,392,388,762
19/10/2022,>25,Male,681,188,217,738,117,368
19/10/2022,15-25,Female,587,528,949,172,483,669
19/10/2022,>25,Female,122,735,800,157,118,733
20/10/2022,15-25,Male,976,463,672,224,199,360
20/10/2022,>25,Male,248,949,609,361,434,78
20/10/2022,15-25,Female,96,841,428,849,20,437
20/10/2022,>25,Female,510,678,220,28,868,993
21/10/2022,15-25,Male,989,995,837,754,530,665
21/10/2022,>25,Male,315,514,857,168,555,746
21/10/2022,15-25,Female,337,114,895,933,657,402
21/10/2022,>25,Female,752,358,509,835,863,553
22/10/2022,15-25,Male,396,493,823,148,105,569
22/10/2022,>25,Male,906,557,862,627,56,849
22/10/2022,15-25,Female,298,485,926,403,954,739
22/10/2022,>25,Female,485,103,715,689,969,399
23/10/2022,15-25,Male,170,123,103,386,834,175
23/10/2022,>25,Male,104,961,710,27,209,536
23/10/2022,15-25,Female,528,580,570,252,346,643
23/10/2022,>25,Female,740,473,255,557,306,988
24/10/2022,15-25,Male,423,751,148,204,677,479
24/10/2022,>25,Male,241,352,421,177,922,484
24/10/2022,15-25,Female,426,42,875,428,967,355
24/10/2022,>25,Female,634,677,516,201,336,330
25/10/2022,15-25,Male,567,55,654,861,129,213
25/10/2022,>25,Male,190,642,230,184,454,774
25/10/2022,15-25,Female,416,680,141,689,621,827
25/10/2022,>25,Female,412,375,807,422,168,998
26/10/2022,15-25,Male,16,745,629,204,526,252
26/10/2022,>25,Male,860,192,100,402,967,396
26/10/2022,15-25,Female,103,50,604,283,842,314
26/10/2022,>25,Female,587,292,920,487,270,679
27/10/2022,15-25,Male,611,20,442,652,627,350
27/10/2022,>25,Male,431,389,130,925,544,248
27/10/2022,15-25,Female,935,184,632,456,806,244
27/10/2022,>25,Female,702,728,544,30,797,150
28/10/2022,15-25,Male,163,523,37,509,629,351
28/10/2022,>25,Male,861,329,759,918,960,941
28/10/2022,15-25,Female,582,538,54,442,171,975
28/10/2022,>25,Female,891,311,643,946,723,668
29/10/2022,15-25,Male,470,91,181,672,596,287
29/10/2022,>25,Male,402,450,808,918,896,137
29/10/2022,15-25,Female,743,538,953,799,890,316
29/10/2022,>25,Female,228,994,679,289,930,530
